#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	S3_fallen_metaphlan
k__Bacteria	2	100.0
k__Bacteria|p__Firmicutes	2|1239	54.270959999999995
k__Bacteria|p__Actinobacteria	2|201174	45.729040000000005
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	54.270959999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	45.729040000000005
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	54.270959999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	45.729040000000005
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	54.270959999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	45.729040000000005
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Marinococcus	2|1239|91061|1385|186817|1370	54.270959999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	45.729040000000005
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Marinococcus|s__Marinococcus_halophilus	2|1239|91061|1385|186817|1370|1371	54.270959999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_hoagii	2|201174|1760|85007|85025|1827|43767	45.729040000000005
