lineage	S3_fallen
k__Archaea;p__;c__;o__;f__;g__;s__halophilic_archaeon_DL31;t__	1.65e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula_vallismortis;t__Haloarcula_vallismortis_ATCC_29715	2.5e-5
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus_tiamatea;t__Halorhabdus_tiamatea_SARL4B	3.75e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus_jeotgali;t__Halalkalicoccus_jeotgali_B3	0.00115
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_agarilyticus;t__	1.9e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_hamelinensis;t__Halococcus_hamelinensis_100A6	0.03507
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_morrhuae;t__Halococcus_morrhuae_DSM_1307	0.0037999999999999996
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_saccharolyticus;t__Halococcus_saccharolyticus_DSM_5350	6.95e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_salifodinae;t__Halococcus_salifodinae_DSM_8989	0.0254
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_sediminicola;t__	0.022025
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_thailandensis;t__Halococcus_thailandensis_JCM_13552	0.00216
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halobellus;s__Halobellus_rufus;t__	0.0019399999999999999
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax_sp._SB29;t__	3e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum_pallidum;t__Halogeometricum_pallidum_JCM_14848	0.01027
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halogranum;s__Halogranum_salarium;t__Halogranum_salarium_B-1	0.12043999999999999
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halolamina;s__Halolamina_rubra;t__	8e-5
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halolamina;s__Halolamina_sediminis;t__	4.3e-4
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halopenitus;s__Halopenitus_sp._DYS4;t__	0.001475
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum_coriense;t__Halorubrum_coriense_DSM_10284	5.5e-5
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum_halophilum;t__	2.5e-5
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum_sp._BV1;t__	0.0014949999999999998
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halobiforma;s__Halobiforma_lacisalsi;t__Halobiforma_lacisalsi_AJ5	2.5e-5
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natronorubrum;s__Natronorubrum_bangense;t__Natronorubrum_bangense_JCM_10635	1.65e-4
k__ArchaeaPlasmid;p__;c__;o__;f__;g__;s__halophilic_archaeon_DL31;t__	1.85e-4
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus_tiamatea;t__Halorhabdus_tiamatea_SARL4B	4.05e-4
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas_pharaonis;t__Natronomonas_pharaonis_DSM_2160	2.5e-5
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus_jeotgali;t__Halalkalicoccus_jeotgali_B3	9.45e-4
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium_hubeiense;t__	3.75e-4
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium_salinarum;t__Halobacterium_salinarum_R1	2.9e-4
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium_sp._DL1;t__	2.5e-5
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Haloterrigena;s__Haloterrigena_turkmenica;t__Haloterrigena_turkmenica_DSM_5511	5e-5
k__ArchaeaPlasmid;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema_pellirubrum;t__Natrinema_pellirubrum_DSM_15624	2.95e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia;s__Dietzia_sp._UCD-THP;t__	1.85e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia_sputi;t__Gordonia_sputi_NBRC_100414	2.5e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_aurum;t__	3.5e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_sp._Root265;t__	1.6e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia_rhamnosiphila;t__Nocardia_rhamnosiphila_NBRC_108938	5.95e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_erythropolis;t__Rhodococcus_erythropolis_CCM2595	1.05e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_fascians;t__Rhodococcus_fascians_A44A	0.0017499999999999998
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_hoagii;t__Rhodococcus_hoagii_103S	0.36732
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthya;s__Sporichthya_polymorpha;t__Sporichthya_polymorpha_DSM_43042	2.9e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__Geodermatophilaceae_bacterium_URHB0048;t__	1.05e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__Geodermatophilaceae_bacterium_URHB0062;t__	2.5e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus_saxobsidens;t__Blastococcus_saxobsidens_DD2	8e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus_sp._URHD0036;t__	5e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Candidatus_Blastococcus_massiliensis;t__Candidatus_Blastococcus_massiliensis_AP3	0.001025
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_caceresii;t__	2.4e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_marinus;t__	1.1e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus;s__Kineococcus_radiotolerans;t__Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149	1.1e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__;t__	1.1e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium_muris;t__Brachybacterium_muris_UCD-AY4	1.3e-4
