#MODULE ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
M00017 	1.000000	1.000000
M00018 	1.000000	1.000000
M00361 	0.875000	0.875000
M00362 	0.909091	0.909091
M00014 	0.600000	0.600000
M00129 	0.571429	0.571429
M00026 	0.875000	0.875000
M00022 	0.769231	0.769231
M00532 	0.722222	0.722222
M00346 	0.800000	0.800000
M00088 	1.000000	1.000000
M00095 	0.875000	0.875000
M00085 	0.166667	0.166667
M00087 	0.526316	0.526316
M00032 	0.444444	0.388889
M00373 	0.846154	0.846154
M00009 	0.851852	0.851852
M00011 	0.733333	0.733333
M00012 	0.750000	0.750000
M00168 	0.500000	0.500000
M00171 	0.300000	0.300000
M00173 	0.868421	0.868421
M00374 	0.848485	0.848485
M00169 	1.000000	1.000000
M00172 	0.750000	0.750000
M00010 	1.000000	1.000000
M00004 	0.857143	0.714286
M00006 	0.800000	0.800000
M00008 	0.833333	0.833333
M00104 	0.083333	0.166667
M00061 	1.000000	1.000000
M00432 	1.000000	1.000000
M00535 	1.000000	0.750000
M00019 	1.000000	1.000000
M00570 	1.000000	1.000000
M00537 	0.500000	0.500000
M00538 	0.875000	0.875000
M00020 	1.000000	1.000000
M00083 	0.714286	0.714286
M00114 	0.625000	0.500000
M00107 	0.333333	0.333333
M00110 	0.250000	0.250000
M00119 	0.833333	0.833333
M00125 	0.727273	0.727273
M00039 	0.142857	0.142857
M00546 	0.800000	0.866667
M00050 	0.833333	0.833333
M00174 	0.500000	0.423077
M00124 	1.000000	1.000000
M00096 	1.000000	1.000000
M00555 	1.000000	1.000000
M00347 	0.361111	0.333333
M00135 	0.600000	0.600000
M00033 	1.000000	1.000000
M00016 	1.000000	1.000000
M00525 	1.000000	1.000000
M00526 	1.000000	1.000000
M00527 	1.000000	1.000000
M00001 	0.833333	0.722222
M00002 	0.900000	0.900000
M00003 	1.000000	0.928571
M00027 	0.666667	0.666667
M00013 	0.500000	0.500000
M00030 	0.333333	0.250000
M00028 	0.750000	0.750000
M00015 	0.750000	0.750000
M00536 	0.750000	0.750000
M00165 	0.875000	0.875000
M00166 	0.800000	0.800000
M00533 	1.000000	1.000000
M00307 	0.900000	0.900000
M00036 	0.923077	0.923077
M00310 	1.000000	1.000000
M00311 	1.000000	1.000000
M00313 	1.000000	1.000000
M00377 	0.900000	0.900000
M00357 	0.360000	0.360000
M00567 	0.290323	0.258065
M00046 	0.666667	0.666667
M00025 	0.785714	0.714286
M00040 	0.400000	0.400000
M00051 	0.642857	0.642857
M00121 	0.857143	0.857143
M00113 	0.222222	0.222222
M00376 	0.650000	0.650000
M00149 	1.000000	1.000000
M00150 	1.000000	1.000000
M00115 	0.857143	0.857143
M00126 	0.642857	0.642857
M00141 	0.250000	0.250000
M00144 	0.882353	0.882353
M00531 	0.625000	0.625000
M00530 	0.647059	0.647059
M00529 	0.555556	0.555556
M00176 	0.900000	0.900000
M00356 	0.333333	0.333333
M00561 	0.333333	0.333333
M00562 	0.111111	0.111111
M00563 	0.111111	0.111111
M00156 	1.000000	1.000000
M00151 	0.900000	0.900000
M00152 	0.272727	0.272727
M00153 	1.000000	1.000000
M00569 	1.000000	1.000000
M00044 	0.833333	0.833333
M00038 	0.800000	0.800000
M00543 	0.285714	0.285714
M00350 	0.200000	0.200000
M00042 	0.333333	0.333333
M00037 	0.250000	0.250000
M00097 	0.333333	0.333333
M00053 	0.666667	0.666667
M00545 	1.000000	1.000000
M00539 	0.750000	0.500000
M00547 	0.400000	0.400000
M00175 	0.800000	0.800000
M00047 	0.000000	0.333333
M00091 	0.250000	0.250000
M00035 	0.800000	0.800000
M00117 	1.000000	1.000000
M00128 	0.333333	0.333333
M00140 	1.000000	1.000000
M00048 	0.550000	0.550000
M00029 	0.833333	0.833333
M00007 	1.000000	0.833333
M00167 	0.909091	0.909091
M00375 	0.515152	0.515152
M00089 	0.210526	0.210526
M00021 	0.600000	0.600000
M00082 	0.571429	0.571429
M00123 	1.000000	1.000000
M00094 	0.000000	0.200000
M00099 	0.125000	0.250000
M00060 	1.000000	1.000000
M00565 	0.900000	0.900000
M00066 	0.500000	0.500000
M00072 	0.125000	0.125000
M00023 	0.785714	0.785714
M00122 	1.000000	1.000000
M00034 	0.777778	0.777778
M00366 	0.500000	0.500000
M00367 	0.333333	0.333333
M00127 	0.750000	0.750000
M00368 	0.333333	0.333333
M00364 	1.000000	1.000000
M00133 	0.857143	0.857143
M00024 	0.714286	0.785714
M00549 	0.714286	0.714286
M00554 	1.000000	1.000000
M00345 	0.714286	0.714286
M00120 	0.636364	0.636364
M00344 	1.000000	1.000000
M00049 	0.833333	0.833333
M00308 	0.666667	0.666667
M00052 	0.500000	0.500000
M00005 	1.000000	1.000000
M00394 	1.000000	1.000000
M00063 	1.000000	1.000000
M00093 	1.000000	1.000000
M00098 	0.090909	0.090909
M00081 	0.333333	0.666667
M00568 	1.000000	1.000000
M00131 	0.142857	0.142857
M00077 	0.500000	0.500000
M00079 	0.250000	0.250000
M00076 	0.400000	0.400000
M00078 	0.222222	0.222222
M00045 	1.000000	1.000000
M00134 	1.000000	1.000000
M00170 	0.666667	0.666667
M00433 	0.200000	0.200000
M00116 	0.818182	0.818182
M00338 	0.666667	0.666667
M00365 	1.000000	1.000000
M00359 	0.954545	0.954545
M00360 	0.903226	0.903226
M00086 	0.500000	0.500000
M00118 	0.500000	0.500000
M00247 	1.000000	1.000000
M00254 	1.000000	1.000000
M00237 	1.000000	1.000000
M00208 	1.000000	1.000000
