#MODULE ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
M00017 	4522	4669
M00018 	3970	4058
M00361 	2534	2616
M00362 	3701	3790
M00014 	1180	1218
M00129 	1656	1666
M00026 	6444	6476
M00022 	5189	5226
M00532 	5474	5507
M00346 	3220	3303
M00088 	2573	2667
M00095 	2688	2776
M00085 	1	6
M00087 	2960	2853
M00032 	3386	3350
M00373 	3162	3346
M00009 	12902	13086
M00011 	9998	10097
M00012 	3704	3767
M00168 	1108	1163
M00171 	1259	1300
M00173 	10196	10256
M00374 	10240	10302
M00169 	640	632
M00172 	1130	1154
M00010 	3183	3247
M00004 	6141	6295
M00006 	987	1031
M00008 	1728	1837
M00104 	93	87
M00061 	1094	998
M00432 	2521	2619
M00535 	1654	1709
M00019 	4173	4335
M00570 	5169	5337
M00537 	104	99
M00538 	190	191
M00020 	2227	2256
M00083 	8053	8200
M00114 	2591	2661
M00107 	15	17
M00110 	15	17
M00119 	3515	3662
M00125 	4420	4422
M00039 	725	685
M00546 	2035	2139
M00050 	3714	3769
M00174 	3471	3407
M00124 	3032	3037
M00096 	3887	3684
M00555 	1117	1176
M00347 	1312	1308
M00135 	1360	1477
M00033 	2217	2310
M00016 	7473	7477
M00525 	5982	6036
M00526 	5114	5126
M00527 	5969	6020
M00001 	8577	8660
M00002 	5785	5833
M00003 	6780	6833
M00027 	2709	2806
M00013 	1085	1140
M00030 	218	180
M00028 	3584	3621
M00015 	2337	2426
M00536 	1765	1810
M00165 	5813	5848
M00166 	896	913
M00533 	147	170
M00307 	4410	4592
M00036 	5513	5713
M00310 	42	44
M00311 	279	258
M00313 	68	70
M00377 	1818	1950
M00357 	1456	1598
M00567 	136	129
M00046 	127	147
M00025 	1319	1368
M00040 	205	199
M00051 	5246	5280
M00121 	8649	8855
M00113 	950	900
M00376 	9049	9110
M00149 	2777	2778
M00150 	262	238
M00115 	2729	2735
M00126 	5817	5766
M00141 	886	908
M00144 	4460	3911
M00531 	911	925
M00530 	2149	2098
M00529 	2060	1990
M00176 	3093	3235
M00356 	3	3
M00561 	8	8
M00562 	1	1
M00563 	1	1
M00156 	1703	1777
M00151 	918	930
M00152 	670	670
M00153 	1657	1761
M00569 	759	798
M00044 	1629	1671
M00038 	1528	1743
M00543 	262	229
M00350 	53	37
M00042 	37	41
M00037 	22	17
M00097 	358	387
M00053 	5120	5048
M00545 	647	576
M00539 	277	238
M00547 	262	229
M00175 	52	54
M00047 	0	10
M00091 	45	46
M00035 	2124	2066
M00117 	4183	4025
M00128 	478	438
M00140 	1669	1711
M00048 	7311	7406
M00029 	2249	2220
M00007 	4347	4442
M00167 	4917	4935
M00375 	7577	7724
M00089 	2163	2110
M00021 	1760	1700
M00082 	7040	7067
M00123 	2464	2487
M00094 	0	12
M00099 	4	29
M00060 	4921	5031
M00565 	1461	1577
M00066 	11	13
M00072 	14	14
M00023 	4117	4185
M00122 	1083	1170
M00034 	2212	2429
M00366 	783	830
M00367 	494	507
M00127 	2057	2101
M00368 	824	824
M00364 	1216	1211
M00133 	1767	1852
M00024 	1602	1641
M00549 	2267	2281
M00554 	582	627
M00345 	2198	2211
M00120 	3143	3180
M00344 	1513	1515
M00049 	3754	3782
M00308 	1319	1416
M00052 	2110	2162
M00005 	628	646
M00394 	2181	2145
M00063 	1397	1425
M00093 	1378	1378
M00098 	20	29
M00081 	78	54
M00568 	308	382
M00131 	766	775
M00077 	192	194
M00079 	122	135
M00076 	192	194
M00078 	192	200
M00045 	2453	2585
M00134 	502	500
M00170 	1051	1104
M00433 	18	19
M00116 	2173	2298
M00338 	630	597
M00365 	652	654
M00359 	13593	13651
M00360 	14567	14649
M00086 	974	944
M00118 	871	854
M00247 	76	91
M00254 	7258	7104
M00237 	4381	4204
M00208 	1170	1220
M00258 	4545	4503
M00245 	210	157
M00246 	151	112
M00190 	1548	1557
M00240 	5584	6039
M00189 	1096	1123
M00207 	1724	1646
M00236 	2834	2891
M00239 	5173	5457
M00222 	2628	2623
M00223 	976	1122
M00185 	695	734
M00188 	1759	1719
M00193 	985	1035
M00221 	1278	1347
M00191 	210	217
M00210 	1476	1517
M00211 	302	284
M00238 	1297	1429
M00244 	320	411
M00157 	6083	6183
M00164 	6083	6183
M00159 	89	78
M00259 	770	737
M00290 	27	23
M00429 	1136	1186
M00154 	682	698
M00155 	1838	2008
M00417 	804	848
M00264 	14	14
M00260 	6032	6231
M00234 	467	523
M00331 	2794	2413
M00507 	206	191
M00511 	35	35
M00485 	106	163
M00080 	1301	1339
M00162 	2	6
M00501 	51	28
M00277 	43	33
M00287 	129	99
M00268 	265	271
M00272 	324	323
M00271 	113	133
M00275 	313	400
M00273 	230	268
M00304 	32	64
M00279 	269	209
M00265 	324	327
M00266 	331	330
M00270 	435	448
M00303 	259	265
M00280 	229	244
M00281 	10	10
M00276 	239	228
M00274 	168	155
M00267 	99	142
M00269 	232	264
M00550 	989	947
M00283 	795	785
M00416 	404	442
M00178 	47006	47420
M00179 	27265	27581
M00177 	147	147
M00183 	2834	2842
M00184 	77	77
M00335 	8197	8148
M00336 	2082	2093
M00333 	142	231
M00564 	0	8
M00542 	125	304
M00332 	143	350
M00064 	836	860
M00506 	2077	2131
M00343 	123	98
M00342 	227	181
M00391 	0	4
M00540 	116	109
M00295 	7	7
M00551 	186	211
M00145 	177	171
M00186 	346	361
M00192 	909	844
M00224 	222	208
M00198 	884	990
M00031 	49	41
M00209 	2059	2063
M00358 	63	46
M00241 	173	149
M00320 	1223	1202
M00575 	769	790
M00288 	21	21
M00434 	1585	1619
M00444 	154	142
M00445 	344	310
M00446 	398	428
M00447 	299	276
M00449 	112	66
M00450 	424	429
M00451 	130	124
M00452 	363	362
M00453 	545	586
M00454 	394	407
M00455 	43	33
M00456 	282	250
M00457 	466	427
M00448 	35	55
M00458 	203	221
M00459 	207	225
M00460 	17	10
M00461 	110	95
M00471 	587	573
M00472 	65	66
M00473 	94	67
M00474 	217	215
M00475 	528	528
M00477 	164	175
M00476 	53	73
M00480 	300	292
M00483 	190	190
M00478 	40	56
M00479 	560	494
M00486 	86	66
M00488 	130	124
M00492 	193	209
M00495 	155	151
M00497 	657	624
M00499 	278	287
M00500 	90	100
