#PATHWAY ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
1.1.1  With NAD+ or NADP+ as acceptor	0.461847	0.465863
5.3.3  Transposing C=C bonds	0.500000	0.500000
1.3.1  With NAD+ or NADP+ as acceptor	0.315068	0.287671
1.17.1  With NAD+ or NADP+ as acceptor	0.818182	0.818182
1.1.2  With a cytochrome as acceptor	0.714286	0.571429
1.1.3  With oxygen as acceptor	0.384615	0.307692
1.1.99  With other acceptors	0.545455	0.545455
1.1.5  With a quinone or similar compound as acceptor	1.000000	1.000000
1.2.1  With NAD+ or NADP+ as acceptor	0.557143	0.557143
6.2.1  Acid-thiol ligases	0.346154	0.346154
1.2.5  With a quinone or similar compound as acceptor	1.000000	1.000000
1.2.3  With oxygen as acceptor	0.250000	0.250000
1.2.4  With a disulfide as acceptor	0.875000	0.875000
1.2.7  With an iron-sulfur protein as acceptor	0.666667	0.666667
1.2.99  With other acceptors	0.625000	0.625000
2.3.1  Transferring groups other than aminoacyl groups	0.345679	0.333333
2.1.1  Methyltransferases	0.415094	0.418868
4.99.1  Sole sub-subclass for lyases that do not belong in the other subclasses	0.600000	0.600000
1.3.98  With other, known, acceptors	1.000000	1.000000
1.3.3  With oxygen as acceptor	0.444444	0.444444
1.3.5  With a quinone or related compound as acceptor	0.333333	0.333333
1.3.99  With other acceptors	0.625000	0.593750
1.3.8  With a flavin as acceptor	0.625000	0.625000
1.4.1  With NAD+ or NADP+ as acceptor	0.823529	0.823529
1.4.3  With oxygen as acceptor	0.600000	0.600000
1.5.99  With other acceptors	0.666667	0.666667
1.4.4  With a disulfide as acceptor	1.000000	1.000000
1.4.7  With an iron-sulfur protein as acceptor	1.000000	1.000000
1.4.99  With other acceptors	0.250000	0.250000
1.5.1  With NAD+ or NADP+ as acceptor	0.500000	0.444444
3.5.4  In cyclic amidines	0.558824	0.558824
6.3.4  Other carbon-nitrogen ligases	0.407407	0.407407
1.5.3  With oxygen as acceptor	0.384615	0.384615
1.5.5  With a quinone or similar compound as acceptor	1.000000	1.000000
1.5.8  With a flavin or flavoprotein as acceptor	0.333333	0.333333
1.6.1  With NAD+ or NADP+ as acceptor	0.750000	0.750000
1.6.2  With a heme protein as acceptor	0.333333	0.333333
2.7.1  Phosphotransferases with an alcohol group as acceptor	0.520202	0.510101
1.6.5  With a quinone or similar compound as acceptor	0.280899	0.280899
1.6.99  With other acceptors	0.073171	0.073171
1.7.1  With NAD+ or NADP+ as acceptor	0.583333	0.583333
1.7.3  With oxygen as acceptor	0.500000	0.500000
