#PATHWAY ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
1.1.1  With NAD+ or NADP+ as acceptor	31195	31770
5.3.3  Transposing C=C bonds	1238	1268
1.3.1  With NAD+ or NADP+ as acceptor	4090	4261
1.17.1  With NAD+ or NADP+ as acceptor	1837	1897
1.1.2  With a cytochrome as acceptor	377	452
1.1.3  With oxygen as acceptor	451	475
1.1.99  With other acceptors	1133	1221
1.1.5  With a quinone or similar compound as acceptor	1408	1436
1.2.1  With NAD+ or NADP+ as acceptor	12172	12611
6.2.1  Acid-thiol ligases	5273	5358
1.2.5  With a quinone or similar compound as acceptor	165	169
1.2.3  With oxygen as acceptor	158	162
1.2.4  With a disulfide as acceptor	3103	3110
1.2.7  With an iron-sulfur protein as acceptor	652	683
1.2.99  With other acceptors	398	366
2.3.1  Transferring groups other than aminoacyl groups	24867	25032
2.1.1  Methyltransferases	27212	27602
4.99.1  Sole sub-subclass for lyases that do not belong in the other subclasses	1361	1399
1.3.98  With other, known, acceptors	1	5
1.3.3  With oxygen as acceptor	966	956
1.3.5  With a quinone or related compound as acceptor	644	659
1.3.99  With other acceptors	5179	5384
1.3.8  With a flavin as acceptor	1341	1354
1.4.1  With NAD+ or NADP+ as acceptor	5290	5257
1.4.3  With oxygen as acceptor	1714	1728
1.5.99  With other acceptors	747	774
1.4.4  With a disulfide as acceptor	847	873
1.4.7  With an iron-sulfur protein as acceptor	185	210
1.4.99  With other acceptors	631	647
1.5.1  With NAD+ or NADP+ as acceptor	5575	5492
3.5.4  In cyclic amidines	7551	7744
6.3.4  Other carbon-nitrogen ligases	6014	6050
1.5.3  With oxygen as acceptor	681	803
1.5.5  With a quinone or similar compound as acceptor	232	231
1.5.8  With a flavin or flavoprotein as acceptor	15	23
1.6.1  With NAD+ or NADP+ as acceptor	872	868
1.6.2  With a heme protein as acceptor	26	41
2.7.1  Phosphotransferases with an alcohol group as acceptor	21649	21924
1.6.5  With a quinone or similar compound as acceptor	7901	7438
1.6.99  With other acceptors	1120	1125
1.7.1  With NAD+ or NADP+ as acceptor	1348	1356
1.7.3  With oxygen as acceptor	2	7
1.7.7  With an iron-sulfur protein as acceptor	23	24
1.7.2  With a cytochrome as acceptor	736	676
1.7.99  With other acceptors	1235	1213
1.8.1  With NAD+ or NADP+ as acceptor	5501	5762
1.8.4  With a disulfide as acceptor	2917	3005
1.8.7  With an iron-sulfur protein as acceptor	250	254
1.8.99  With other acceptors	6	6
1.9.3  With oxygen as acceptor	2435	2636
1.10.2  With a cytochrome as acceptor	223	222
1.10.3  With oxygen as acceptor	2662	2834
1.11.1  Peroxidases	5375	5408
1.12.1  With NAD+ or NADP+ as acceptor	26	25
1.13.11  With incorporation of two atoms of oxygen	2970	3208
1.13.12  With incorporation of one atom of oxygen (internal monooxygenases or internal mixed-function oxidases)	310	306
1.14.99  Miscellaneous	490	538
1.13.99  Miscellaneous	2	6
1.14.11  With 2-oxoglutarate as one donor, and incorporation of one atom of oxygen into each donor	876	818
1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	2459	2477
1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor	395	430
1.14.15  With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen into the other donor	61	62
1.14.16  With reduced pteridine as one donor, and incorporation of one atom of oxygen into the other donor	356	357
1.14.18  With another compound as one donor, and incorporation of one atom of oxygen into the other donor	15	24
1.14.19  With oxidation of a pair of donors resulting in the reduction of O2 to two molecules of water	672	689
1.14.-  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2	55	67
1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date)	1382	1356
1.16.1  With NAD+ or NADP+ as acceptor	472	418
1.16.3  With oxygen as acceptor	249	243
1.17.4  With a disulfide as acceptor	2163	2120
1.18.1  With NAD+ or NADP+ as acceptor	719	706
1.18.6  With dinitrogen as acceptor	38	39
1.20.4  With disulfide as acceptor	2021	2094
1.97.1  Sole sub-subclass for oxidoreductases that do not belong in the other subclasses	413	363
1.-.-	3376	3394
4.1.1  Carboxy-lyases	11217	11352
2.1.2  Hydroxymethyl-, formyl- and related transferases	4540	4620
2.1.3  Carboxy- and carbamoyltransferases	1814	1773
2.1.4  Amidinotransferases	0	10
2.2.1  Transketolases and transaldolases	5533	5667
3.1.2  Thioester hydrolases	4585	4614
2.3.2  Aminoacyltransferases	2280	2281
2.4.1  Hexosyltransferases	7806	7998
2.4.2  Pentosyltransferases	10192	10362
2.4.99  Transferring other glycosyl groups	2756	2741
3.1.26  Endoribonucleases producing 5-phosphomonoesters	3637	3694
2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)	19297	19781
