#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K00012	769	818
K00058	1281	1330
K00059	2396	2454
K00067	655	770
K00249	236	224
K00520	190	172
K00558	424	382
K00666	283	397
K00973	656	687
K01710	704	691
K01759	647	688
K01790	404	462
K01990	3839	3825
K02033	1091	1194
K02035	1143	1243
K02274	568	595
K02275	523	575
K02276	705	765
K02301	631	623
K03124	35	53
K03207	43	39
K03496	1347	1306
K03546	280	332
K03601	439	435
K03602	624	601
K03657	865	899
K03724	315	324
K03733	618	635
K04483	7	13
K04763	756	785
K05521	0	10
K06132	228	203
K06889	584	589
K06915	387	443
K06921	101	107
K06978	248	287
K07011	220	243
K07052	953	1027
K07065	4	6
K07089	519	527
K07213	65	86
K07452	273	256
K07484	137	119
K07496	349	355
K07498	5	23
K07504	48	74
K07577	228	274
K07729	249	274
K08981	386	396
K08982	249	277
K09167	282	316
K09744	15	32
K10725	14	26
K13525	68	65
K17686	821	820
K18118	24	28
K19244	1	6
K00014	866	864
K00015	15	18
K00027	624	619
K00030	271	266
K00052	593	621
K00053	659	682
K00054	205	253
K00088	577	560
K00096	90	99
K00104	203	225
K00111	530	527
K00133	861	864
K00140	547	609
K00150	11	11
K00170	14	14
K00171	7	7
K00172	7	8
K00174	64	58
K00175	213	196
K00176	1	2
K00177	1	2
K00180	6	5
K00196	1	1
K00198	5	5
K00239	880	874
K00240	864	866
K00261	258	283
K00282	194	204
K00283	50	64
K00330	366	319
K00331	356	310
K00332	155	116
K00333	117	79
K00337	370	331
K00338	360	324
K00339	267	234
K00340	333	285
K00342	362	323
K00390	506	528
K00425	757	830
K00525	989	1003
K00527	223	189
K00528	395	381
K00549	278	289
K00555	7	7
K00567	482	474
K00573	619	618
K00600	886	908
K00605	429	444
K00609	970	942
K00610	72	69
K00611	388	365
K00626	1540	1570
K00639	647	660
K00656	223	201
K00681	1008	1006
K00721	304	315
K00759	798	806
K00762	651	656
K00763	613	630
K00772	64	51
K00782	117	122
K00784	362	406
K00789	824	824
K00794	856	883
K00800	565	587
K00803	62	66
K00809	190	225
K00812	680	734
K00820	867	868
K00823	314	312
K00852	382	371
K00858	838	842
K00872	361	368
K00926	306	309
K00927	668	682
K00939	664	644
K00943	612	588
K00945	634	672
K00946	649	654
K00948	628	646
K00952	7	7
K01007	399	409
K01012	519	539
K01079	390	366
K01090	2	6
K01092	766	775
K01151	310	316
K01179	344	283
K01251	463	442
K01262	722	697
K01265	1018	1023
K01271	542	469
K01299	71	96
K01426	182	244
K01438	563	594
K01439	512	498
K01465	948	945
K01470	241	252
K01478	74	67
K01480	541	561
K01482	0	3
K01486	129	142
K01494	450	425
K01512	403	429
K01515	616	609
K01533	884	926
K01551	289	262
K01581	179	172
K01586	953	949
K01591	684	694
K01610	561	582
K01611	228	235
K01622	1	0
K01628	65	45
K01641	153	160
K01678	1	1
K01687	599	603
K01689	844	843
K01703	518	524
K01704	537	564
K01714	1127	1125
K01733	860	872
K01736	667	679
K01738	857	813
K01752	899	925
K01754	996	1002
K01756	674	686
K01784	883	894
K01791	275	296
K01802	862	939
K01803	699	695
K01807	329	322
K01821	355	363
K01845	718	731
K01858	142	118
K01866	761	778
K01867	598	609
K01869	629	644
K01870	677	664
K01872	656	680
K01874	693	692
K01880	259	275
K01881	717	709
K01883	791	779
K01885	650	661
K01887	571	549
K01889	631	642
K01890	671	684
K01892	693	700
K01893	593	598
K01902	854	861
K01903	602	619
K01915	1713	1690
K01916	610	619
K01934	592	603
