#OTU ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
k__Archaea;p__;c__;o__;f__;g__;s__halophilic_archaeon_DL31;t__	0	6
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula_vallismortis;t__Haloarcula_vallismortis_ATCC_29715	0	1
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus_tiamatea;t__Halorhabdus_tiamatea_SARL4B	7	7
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus_jeotgali;t__Halalkalicoccus_jeotgali_B3	26	17
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_agarilyticus;t__	0	7
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_hamelinensis;t__Halococcus_hamelinensis_100A6	716	593
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_morrhuae;t__Halococcus_morrhuae_DSM_1307	82	60
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_saccharolyticus;t__Halococcus_saccharolyticus_DSM_5350	17	9
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_salifodinae;t__Halococcus_salifodinae_DSM_8989	487	460
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_sediminicola;t__	449	373
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus_thailandensis;t__Halococcus_thailandensis_JCM_13552	25	55
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halobellus;s__Halobellus_rufus;t__	28	44
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax_sp._SB29;t__	0	11
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum_pallidum;t__Halogeometricum_pallidum_JCM_14848	198	185
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halogranum;s__Halogranum_salarium;t__Halogranum_salarium_B-1	2234	2254
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halolamina;s__Halolamina_rubra;t__	3	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halolamina;s__Halolamina_sediminis;t__	10	6
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halopenitus;s__Halopenitus_sp._DYS4;t__	26	29
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum_coriense;t__Halorubrum_coriense_DSM_10284	0	2
